Project,Type,Installed_MW,Connection_Date,County,Connection_Type
Rossaveel Wind Farm,Wind,3,28-06-2019,Galway,DSO
Cappawhite A Wind Farm (Gate 2),Wind,2.92,11-08-2017,Tipperary,DSO
Carrowleagh Wind Farm Ext. (2),Wind,2.65,24-05-2019,Donegal,DSO
Knock South Wind Farm (Inverin),Wind,2.64,01-01-1999,Galway,DSO
Tullynamalra Wind Farm,Wind,2.638,15-04-2019,Meath,DSO
Killybegs Wind Farm,Wind,2.55,19-12-2007,Donegal,DSO
Meenanilta Wind Farm (1),Wind,2.55,01-09-2003,Donegal,DSO
Carrig Wind Farm,Wind,2.55,01-04-2006,Cork,DSO
Curraghgraigue Wind Farm,Wind,2.55,01-01-2004,Tipperary,DSO
Cronelea Upper Wind Farm,Wind,2.55,01-07-2005,Carlow,DSO
Ballinlough Wind Farm,Wind,2.55,01-01-2006,Tipperary,DSO
Mace Upper Wind Farm,Wind,2.55,20-02-2010,Tipperary,DSO
Bunnahowen Wind Farm (Temp),Wind,2.55,18-12-2019,Mayo,DSO
Beale Hill (2),Wind,2.55,01-08-2003,Roscommon,DSO
Ballinveny Wind Farm,Wind,2.55,01-01-2006,Tipperary,DSO
Shannagh (Kilcar),Wind,2.55,30-03-2010,Donegal,DSO
DePuy 3MW Wind Turbine,Wind,2.5,21-07-2014,Cork,DSO
Kilbranish Wind Farm,Wind,2.5,11-10-2018,Galway,DSO
Grady Joinery Wind Farm,Wind,2.5,05-08-2017,Mayo,DSO
Meenanilta Wind Farm (2),Wind,2.45,01-07-2004,Donegal,DSO
CURRAGHGRAIGUE (2) Wind Farm,Wind,2.44,24-08-2011,Tipperary,DSO
Enros - Sorne Hill Single Turbine,Wind,2.3,18-12-2019,Donegal,DSO
Collon Wind Power Limited (Gate 3),Wind,2.3,11-04-2016,Wexford,DSO
Gurteen Lower Wind Farm,Wind,2.3,22-08-2017,Tipperary,DSO
Corvin Wind Turbine,Wind,2.1,20-12-2018,Donegal,DSO
Wind Energy Project (Janssen),Wind,2,21-07-2014,Cork,DSO
Anarget Wind Farm (1),Wind,1.98,01-09-2000,Donegal,DSO
Dunmore 2,Wind,1.8,01-05-2009,Wexford,DSO
Knocknagoum (2),Wind,1.8,13-09-2013,Kerry,DSO
Dunmore Wind Farm,Wind,1.7,01-07-2006,Wexford,DSO
Cronelea Upper Wind Farm (2),Wind,1.7,11-12-2009,Carlow,DSO
Beallough Wind Farm,Wind,1.7,01-11-2008,Waterford,DSO
Mount Eagle Wind Farm (2),Wind,1.7,01-11-2008,Kerry,DSO
Crocane Wind Farm,Wind,1.7,27-01-2011,Cork,DSO
Beale Hill (1),Wind,1.65,01-11-2000,Roscommon,DSO
Slievereagh Wind Farm (2),Wind,1.6,01-12-2014,Tipperary,DSO
Liffey Autoproduction Project,Wind,1.6,15-12-2017,Dublin,DSO
Tullynamoyle Wind Farm 3 (Carrane Hill Merged Capacity),Wind,1.598,18-09-2017,Monaghan,DSO
Cuillalea Wind Farm (2),Wind,1.59,31-08-2010,Mayo,DSO
Ballybane 2A (Glanta Commons) Wind Farm Extension,Wind,1.55,29-01-2017,Cork,DSO
Liffey Autoproduction Project (extension),Wind,1.417,15-12-2017,Dublin,DSO
Glackmore Hill (2),Wind,1.4,28-04-2009,Donegal,DSO
Beale Hill (3) Wind Farm,Wind,1.3,14-11-2016,Roscommon,DSO
Garracummer (2),Wind,1,11-02-2015,Tipperary,DSO
Pluckanes Wind Farm,Wind,0.85,27-09-2013,Waterford,DSO
Collon Wind Power Limited (Gate 2),Wind,0.7,11-04-2016,Wexford,DSO
Knock South Wind Farm (2),Wind,0.69,01-01-1999,Galway,DSO
Burtonport Harbour Single Turbine,Wind,0.66,01-07-2003,Mayo,DSO
Mounvaun (Mienvee) Wind Farm,Wind,0.66,01-01-2004,Clare,DSO
Ballyduff Wind Farm,Wind,0.6,13-01-2017,Wexford,DSO
Glackmore Hill (1),Wind,0.6,28-04-2009,Donegal,DSO
Muine Bheag Wind,Wind,0.5,22-04-2022,Carlow,DSO
Country Crest,Wind,0.5,07-03-2011,Dublin,DSO
Dundalk IT Wind Turbine,Wind,0.5,01-01-2006,Louth,DSO
Anarget Wind Farm (3),Wind,0.5,04-11-2011,Donegal,DSO
Mossedge Wind Farm,Wind,0.5,17-01-2019,Donegal,DSO
Michael Aylward,Wind,0.5,26-09-2016,Waterford,DSO
