Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone,Latitude,Longitude
Glanaruddery 2 (formerly Dromadda More 2),Wind,Onshore,12.0,13-02-2018,Cork,DSO,South,51.8979,-8.4706
Esk Wind Farm Phase 2,Wind,Onshore,12.0,16-10-2020,Cork,DSO,South,51.8979,-8.4706
Tullynamoyle Wind Farm 3 (Formerly Geevagh 2),Wind,Onshore,11.98,18-09-2017,Monaghan,DSO,North,54.2498,-6.9683
Carnsore Wind Farm,Wind,Onshore,11.9,01-08-2002,Wexford,DSO,East,52.3369,-6.4629
Meenachullalan Wind Farm,Wind,Onshore,11.9,01-11-2008,Donegal,DSO,North,54.6544,-8.1041
Culliagh Wind Farm (Meenbog),Wind,Onshore,11.88,01-10-2000,Donegal,DSO,North,54.6544,-8.1041
An Cnoc,Wind,Onshore,11.5,19-09-2017,Tipperary,DSO,South,52.4732,-8.1615
Ballybane 2A (Glanta Commons) Wind Farm,Wind,Onshore,11.5,30-01-2015,Cork,DSO,South,51.8979,-8.4706
Raragh 2 Wind Farm,Wind,Onshore,11.5,28-11-2019,Meath,DSO,East,53.6056,-6.6564
Clogheravaddy Wind Farm (Phase 2),Wind,Onshore,10.8,08-02-2022,Donegal,DSO,North,54.6544,-8.1041
Dromdeeveen Wind Farm (1),Wind,Onshore,10.5,24-08-2011,Cork,DSO,South,51.8979,-8.4706
Gartnaneane (1) Wind Farm,Wind,Onshore,10.5,01-11-2004,Meath,DSO,East,53.6056,-6.6564
Caherdowney Wind Farm,Wind,Onshore,10.0,16-04-2012,Donegal,DSO,North,54.6544,-8.1041
Glantaunyalkeen Windfarm,Wind,Onshore,9.999,30-08-2018,Cork,DSO,South,51.8979,-8.4706
Meenwaun Wind Farm,Wind,Onshore,9.99,21-12-2017,Cork,DSO,South,51.8979,-8.4706
Corkermore Wind Farm Phase 1,Wind,Onshore,9.99,06-07-2011,Donegal,DSO,North,54.6544,-8.1041
Ballycadden Wind Farm (2),Wind,Onshore,9.762,12-10-2012,Wexford,DSO,East,52.3369,-6.4629
Foyle Wind Farm (prev Holmes Hill),Wind,Onshore,9.6,25-07-2017,Tipperary,DSO,South,52.4732,-8.1615
