Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone
Black Banks (2),Wind,Onshore,6.8,01-09-2005,Monaghan,DSO,North
Tursillagh (2) Wind Farm,Wind,Onshore,6.8,01-09-2004,Kerry,DSO,South
Richfield Wind Farm (2),Wind,Onshore,6.75,01-08-2006,Wexford,DSO,East
Knockawarriga Extension (Knockacummer & Caherlevoy) Wind Farm,Wind,Onshore,6.6,12-02-2020,Roscommon,DSO,West
Bellacorrick Wind Farm,Wind,Onshore,6.45,01-10-1992,Mayo,DSO,West
Faughary Wind Farm,Wind,Onshore,6,16-12-2014,Sligo,DSO,West
Cahermurphy Wind Farm,Wind,Onshore,6,23-01-2020,Clare,DSO,West
Ballymartin (1) (Smithstown),Wind,Onshore,6,08-06-2011,Waterford,DSO,South
Killin Hill Wind Farm,Wind,Onshore,6,23-06-2017,Donegal,DSO,North
Lackan Wind Farm,Wind,Onshore,6,30-06-2008,Mayo,DSO,West
Esk Wind Farm Phase 1,Wind,Onshore,5.95,16-10-2020,Cork,DSO,South
Coomatallin Wind Farm,Wind,Onshore,5.95,01-01-2005,Cork,DSO,South
Milane Hill Wind Farm,Wind,Onshore,5.94,01-09-2000,Cork,DSO,South
Largan Hill,Wind,Onshore,5.94,01-11-2000,Mayo,DSO,West
Esk Wind Farm Phase 1,Wind,Onshore,5.4,16-10-2020,Cork,DSO,South
Mount Eagle Wind Farm,Wind,Onshore,5.1,01-03-2005,Kerry,DSO,South
Knocknalour Wind Farm (1),Wind,Onshore,5,20-06-2013,Wexford,DSO,East
Kilronan,Wind,Onshore,5,01-12-1997,Roscommon,DSO,West
Crockahenny,Wind,Onshore,5,01-04-1998,Tyrone,DSO,NI
Lurganboy Wind Farm,Wind,Onshore,4.99,01-06-2008,Donegal,DSO,North
Carrons (A&B) Wind Farm,Wind,Onshore,4.99,26-11-2010,Limerick,DSO,South
Greenoge Wind Farm,Wind,Onshore,4.99,27-06-2005,Galway,DSO,West
Clydaghroe Wind Farm,Wind,Onshore,4.99,24-04-2012,Donegal,DSO,North
Ballycurreen Wind Farm,Wind,Onshore,4.99,26-03-2014,Waterford,DSO,South
Cronelea Wind Farm,Wind,Onshore,4.99,21-05-2007,Carlow,DSO,East
Mount Cronalaght,Wind,Onshore,4.98,01-07-1997,Mayo,DSO,West
Geevagh Wind Farm,Wind,Onshore,4.95,01-01-2006,Monaghan,DSO,North
Drumlough Hill Wind Farm,Wind,Onshore,4.8,01-08-1997,Tyrone,DSO,NI
Corrie Mt.,Wind,Onshore,4.8,01-03-1997,Roscommon,DSO,West
Kilberehert Wind Farm,Wind,Onshore,4.799,14-04-2017,Cork,DSO,South
Kilmeedy Wind Farm,Wind,Onshore,4.7,22-12-2016,Cork,DSO,South
Kiltumper Wind Farm,Wind,Onshore,4.69,18-12-2019,Clare,DSO,West
Lenanavea (Burren) Wind Farm,Wind,Onshore,4.65,07-02-2011,Mayo,DSO,West
Currabwee Wind Farm,Wind,Onshore,4.62,01-11-1999,Cork,DSO,South
Ballincurry Wind Farm Ltd (Glengoole),Wind,Onshore,4.6,31-05-2019,Tipperary,DSO,South
Seltanaveeny Wind Farm,Wind,Onshore,4.6,25-03-2011,Roscommon,DSO,West
Skrine Wind Farm,Wind,Onshore,4.6,20-03-2011,Longford,DSO,East
Carrownaweelaun Wind Farm,Wind,Onshore,4.6,03-07-2015,Clare,DSO,West
Ballagh Wind Farm,Wind,Onshore,4.6,31-01-2018,Roscommon,DSO,West
Reenascreena Wind Farm,Wind,Onshore,4.5,24-06-2009,Cork,DSO,South
Curraghderrig,Wind,Onshore,4.5,14-12-2017,Roscommon,DSO,West
Cronelea Wind Farm (2),Wind,Onshore,4.5,11-12-2009,Carlow,DSO,East
Kilvinane Wind Farm,Wind,Onshore,4.5,01-08-2006,Cork,DSO,South
Gartnaneane II Wind Farm,Wind,Onshore,4.5,01-11-2004,Meath,DSO,East
WEDcross Wind Farm,Wind,Onshore,4.5,01-11-2009,Kerry,DSO,South
Rathnacally Wind Farm,Wind,Onshore,4.45,09-07-2018,Cork,DSO,South
Boolard Wind Farm,Wind,Onshore,4.45,05-12-2019,Cork,DSO,South
Ballybane 3 (Glanta Commons) Wind Farm,Wind,Onshore,4.45,29-01-2017,Cork,DSO,South
Gortnacloghy Wind Farm,Wind,Onshore,4.4,31-01-2018,Roscommon,DSO,West
Lahanaght Hill Wind Farm,Wind,Onshore,4.25,01-01-2006,Cork,DSO,South
Rahora Wind Farm,Wind,Onshore,4.25,01-05-2009,Waterford,DSO,South
Three Trees,Wind,Onshore,4.25,18-12-2019,Donegal,DSO,North
Skehanagh Wind Farm,Wind,Onshore,4.25,01-04-2006,Cork,DSO,South
Cloonlusk Wind Farm,Wind,Onshore,4.25,26-01-2018,Mayo,DSO,West
Leabeg Wind Farm,Wind,Onshore,4.25,17-09-2015,Cork,DSO,South
Meenkeeragh Wind Farm,Wind,Onshore,4.2,29-04-2009,Donegal,DSO,North
Ballyduff Wind Farm,Wind,Onshore,4,13-01-2017,Wexford,DSO,East
Ballynancoran Wind Farm,Wind,Onshore,4,24-07-2013,Wexford,DSO,East
